Id,Name,registryKeyPath,registrySubPath
excel16;L_Shownames,Show names,software\policies\microsoft\office\16.0\excel\options\binaryoptions,fshowchartnames_96_1
excel16;L_ShowPasteOptionsButtonWhenContentIsPasted,Show Paste Options button when content is pasted,software\policies\microsoft\office\16.0\common\general,pasteoptions
excel16;L_Showvalues,Show values,software\policies\microsoft\office\16.0\excel\options\binaryoptions,fshowcharttipvalues_97_1
excel16;L_SpecifyCNGHashAlgorithm,Specify CNG hash algorithm,NA,NA
excel16;L_SpecifyCNGHashAlgorithm;L_SpecifyCNGHashAlgorithmDropID,Specify CNG hash algorithm,software\policies\microsoft\office\16.0\excel\security\crypto,hashalgorithm
excel16;L_SpecifyCNGRandomNumberGeneratorAlgorithm,Specify CNG random number generator algorithm,NA,NA
excel16;L_SpecifyCNGRandomNumberGeneratorAlgorithm;L_SpecifyCNGRandomNumberGeneratorAlgorithmID,Random number generator:,software\policies\microsoft\office\16.0\excel\security\crypto,rngalgorithm
excel16;L_SpecifyCNGSaltLength,Specify CNG salt length,NA,NA
excel16;L_SpecifyCNGSaltLength;L_SpecifyCNGSaltLengthSpinID,Number of bytes,software\policies\microsoft\office\16.0\excel\security\crypto,saltbytes
excel16;L_SpecifyEncryptionCompatibility,Specify encryption compatibility,NA,NA
excel16;L_SpecifyEncryptionCompatibility;L_SpecifyEncryptionCompatibilityDropID,Specify encryption compatibility,software\policies\microsoft\office\16.0\excel\security\crypto,compatmode
excel16;L_StopCheckingAltTextAccessibilityInformation,Stop checking for alt text accessibility information,software\policies\microsoft\office\16.0\excel\accchecker,alttext
excel16;L_StopCheckingForBlankTableRowsUsedAsFormatting,Stop checking for blank table rows used as formatting,software\policies\microsoft\office\16.0\excel\accchecker,blanktablerows
excel16;L_StopCheckingForMergedCells,Stop checking for merged cells,software\policies\microsoft\office\16.0\excel\accchecker,mergedcells
excel16;L_StopCheckingTableAltTextAccessibilityInformation,Stop checking for table alt text accessibility information,software\policies\microsoft\office\16.0\excel\accchecker,tablealttext
excel16;L_StopCheckingTableHeaderAccessibilityInformation,Stop checking for table header accessibility information,software\policies\microsoft\office\16.0\excel\accchecker,tableheaders
excel16;L_StopCheckingToEnsureHyperlinkTextIsMeaningful,Stop checking to ensure hyperlink text is meaningful,software\policies\microsoft\office\16.0\excel\accchecker,meaningfulhyperlinks
excel16;L_StopCheckingToEnsureNonDefaultSheetNames,Stop checking to ensure non-default sheet names,software\policies\microsoft\office\16.0\excel\accchecker,sheetnames
excel16;L_StopCheckingToEnsureWorkbooksAllowProgrammaticAccess,Stop checking to ensure workbooks allow programmatic access,software\policies\microsoft\office\16.0\excel\accchecker,programmaticaccess
excel16;L_StoremacroinPersonalMacroWorkbookbydefault,Store macro in Personal Macro Workbook by default,software\policies\microsoft\office\16.0\excel\options\binaryoptions,fglobalsheet_37_1
excel16;L_TextFiles,Text files,NA,NA
excel16;L_TextFiles;L_TextFilesDropID,File block setting:,software\policies\microsoft\office\16.0\excel\security\fileblock,textfiles
excel16;L_Transitionnavigationkeys,Transition navigation keys,software\policies\microsoft\office\16.0\excel\options\binaryoptions,fisi_33_1
excel16;L_TrustaccesstoVisualBasicProject,Trust access to Visual Basic Project,software\policies\microsoft\office\16.0\excel\security,accessvbom
excel16;L_TrustedLoc01;L_Allowsubfolders,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location1,allowsubfolders
excel16;L_TrustedLoc01;L_Datecolon,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location1,date
excel16;L_TrustedLoc01;L_Descriptioncolon,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location1,description
excel16;L_TrustedLoc01;L_Pathcolon,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location1,path
excel16;L_TrustedLoc01,Trusted Location #1,NA,NA
excel16;L_TrustedLoc02;L_allowsubfolders8,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location2,allowsubfolders
excel16;L_TrustedLoc02;L_datecolon6,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location2,date
excel16;L_TrustedLoc02;L_descriptioncolon7,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location2,description
excel16;L_TrustedLoc02;L_pathcolon5,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location2,path
excel16;L_TrustedLoc02,Trusted Location #2,NA,NA
excel16;L_TrustedLoc03;L_allowsubfolders12,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location3,allowsubfolders
excel16;L_TrustedLoc03;L_datecolon10,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location3,date
excel16;L_TrustedLoc03;L_descriptioncolon11,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location3,description
excel16;L_TrustedLoc03;L_pathcolon9,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location3,path
excel16;L_TrustedLoc03,Trusted Location #3,NA,NA
excel16;L_TrustedLoc04;L_allowsubfolders16,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location4,allowsubfolders
excel16;L_TrustedLoc04;L_datecolon14,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location4,date
excel16;L_TrustedLoc04;L_descriptioncolon15,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location4,description
excel16;L_TrustedLoc04;L_pathcolon13,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location4,path
excel16;L_TrustedLoc04,Trusted Location #4,NA,NA
excel16;L_TrustedLoc05;L_allowsubfolders20,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location5,allowsubfolders
excel16;L_TrustedLoc05;L_datecolon18,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location5,date
excel16;L_TrustedLoc05;L_descriptioncolon19,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location5,description
excel16;L_TrustedLoc05;L_pathcolon17,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location5,path
excel16;L_TrustedLoc05,Trusted Location #5,NA,NA
excel16;L_TrustedLoc06;L_allowsubfolders24,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location6,allowsubfolders
excel16;L_TrustedLoc06;L_datecolon22,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location6,date
excel16;L_TrustedLoc06;L_descriptioncolon23,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location6,description
excel16;L_TrustedLoc06;L_pathcolon21,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location6,path
excel16;L_TrustedLoc06,Trusted Location #6,NA,NA
excel16;L_TrustedLoc07;L_allowsubfolders28,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location7,allowsubfolders
excel16;L_TrustedLoc07;L_datecolon26,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location7,date
excel16;L_TrustedLoc07;L_descriptioncolon27,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location7,description
excel16;L_TrustedLoc07;L_pathcolon25,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location7,path
excel16;L_TrustedLoc07,Trusted Location #7,NA,NA
excel16;L_TrustedLoc08;L_allowsubfolders32,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location8,allowsubfolders
excel16;L_TrustedLoc08;L_datecolon30,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location8,date
excel16;L_TrustedLoc08;L_descriptioncolon31,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location8,description
excel16;L_TrustedLoc08;L_pathcolon29,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location8,path
excel16;L_TrustedLoc08,Trusted Location #8,NA,NA
excel16;L_TrustedLoc09;L_allowsubfolders36,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location9,allowsubfolders
excel16;L_TrustedLoc09;L_datecolon34,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location9,date
excel16;L_TrustedLoc09;L_descriptioncolon35,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location9,description
excel16;L_TrustedLoc09;L_pathcolon33,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location9,path
excel16;L_TrustedLoc09,Trusted Location #9,NA,NA
excel16;L_TrustedLoc10;L_allowsubfolders40,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location10,allowsubfolders
excel16;L_TrustedLoc10;L_datecolon38,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location10,date
excel16;L_TrustedLoc10;L_descriptioncolon39,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location10,description
excel16;L_TrustedLoc10;L_pathcolon37,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location10,path
excel16;L_TrustedLoc10,Trusted Location #10,NA,NA
excel16;L_TrustedLoc11;L_allowsubfolders44,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location11,allowsubfolders
excel16;L_TrustedLoc11;L_datecolon42,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location11,date
excel16;L_TrustedLoc11;L_descriptioncolon43,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location11,description
excel16;L_TrustedLoc11;L_pathcolon41,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location11,path
excel16;L_TrustedLoc11,Trusted Location #11,NA,NA
excel16;L_TrustedLoc12;L_allowsubfolders48,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location12,allowsubfolders
excel16;L_TrustedLoc12;L_datecolon46,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location12,date
excel16;L_TrustedLoc12;L_descriptioncolon47,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location12,description
excel16;L_TrustedLoc12;L_pathcolon45,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location12,path
excel16;L_TrustedLoc12,Trusted Location #12,NA,NA
excel16;L_TrustedLoc13;L_allowsubfolders52,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location13,allowsubfolders
excel16;L_TrustedLoc13;L_datecolon50,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location13,date
excel16;L_TrustedLoc13;L_descriptioncolon51,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location13,description
excel16;L_TrustedLoc13;L_pathcolon49,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location13,path
excel16;L_TrustedLoc13,Trusted Location #13,NA,NA
excel16;L_TrustedLoc14;L_allowsubfolders56,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location14,allowsubfolders
excel16;L_TrustedLoc14;L_datecolon54,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location14,date
excel16;L_TrustedLoc14;L_descriptioncolon55,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location14,description
excel16;L_TrustedLoc14;L_pathcolon53,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location14,path
excel16;L_TrustedLoc14,Trusted Location #14,NA,NA
excel16;L_TrustedLoc15;L_allowsubfolders60,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location15,allowsubfolders
excel16;L_TrustedLoc15;L_datecolon58,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location15,date
excel16;L_TrustedLoc15;L_descriptioncolon59,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location15,description
excel16;L_TrustedLoc15;L_pathcolon57,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location15,path
excel16;L_TrustedLoc15,Trusted Location #15,NA,NA
excel16;L_TrustedLoc16;L_allowsubfolders64,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location16,allowsubfolders
excel16;L_TrustedLoc16;L_datecolon62,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location16,date
excel16;L_TrustedLoc16;L_descriptioncolon63,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location16,description
excel16;L_TrustedLoc16;L_pathcolon61,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location16,path
excel16;L_TrustedLoc16,Trusted Location #16,NA,NA
excel16;L_TrustedLoc17;L_allowsubfolders68,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location17,allowsubfolders
excel16;L_TrustedLoc17;L_datecolon66,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location17,date
excel16;L_TrustedLoc17;L_descriptioncolon67,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location17,description
excel16;L_TrustedLoc17;L_pathcolon65,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location17,path
excel16;L_TrustedLoc17,Trusted Location #17,NA,NA
excel16;L_TrustedLoc18;L_allowsubfolders72,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location18,allowsubfolders
excel16;L_TrustedLoc18;L_datecolon70,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location18,date
excel16;L_TrustedLoc18;L_descriptioncolon71,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location18,description
excel16;L_TrustedLoc18;L_pathcolon69,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location18,path
excel16;L_TrustedLoc18,Trusted Location #18,NA,NA
excel16;L_TrustedLoc19;L_allowsubfolders76,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location19,allowsubfolders
excel16;L_TrustedLoc19;L_datecolon74,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location19,date
excel16;L_TrustedLoc19;L_descriptioncolon75,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location19,description
excel16;L_TrustedLoc19;L_pathcolon73,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location19,path
excel16;L_TrustedLoc19,Trusted Location #19,NA,NA
excel16;L_TrustedLoc20;L_allowsubfolders80,Allow sub folders:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location20,allowsubfolders
excel16;L_TrustedLoc20;L_datecolon78,Date:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location20,date
excel16;L_TrustedLoc20;L_descriptioncolon79,Description:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location20,description
excel16;L_TrustedLoc20;L_pathcolon77,Path:,software\policies\microsoft\office\16.0\excel\security\trusted locations\location20,path
excel16;L_TrustedLoc20,Trusted Location #20,NA,NA
excel16;L_TurnOffFileFormatCompatiblityDialogForODS,Suppress file format compatibility dialog box for OpenDocument Spreadsheet format,software\policies\microsoft\office\16.0\excel\options,disablesaveaslosswarningopendocumentspreadsheet
excel16;L_TurnOffFileSynchronizationViaSOAPOverHTTP,Turn off file synchronization via SOAP over HTTP,software\policies\microsoft\office\16.0\common\internet,fsshttpoffexcel
excel16;L_TurnOffFileValidation,Turn off file validation,software\policies\microsoft\office\16.0\excel\security\filevalidation,enableonload
excel16;L_TurnOffProtectedViewForAttachmentsOpenedFromOutlook,Turn off Protected View for attachments opened from Outlook,software\policies\microsoft\office\16.0\excel\security\protectedview,disableattachmentsinpv
excel16;L_TurnOffTrustedDocuments,Turn off trusted documents,software\policies\microsoft\office\16.0\excel\security\trusted documents,disabletrusteddocuments
excel16;L_TurnOffTrustedDocumentsOnTheNetwork,Turn off Trusted Documents on the network,software\policies\microsoft\office\16.0\excel\security\trusted documents,disablenetworktrusteddocuments
excel16;L_UseNewKeyOnPasswordChange,Use new key on password change,software\policies\microsoft\office\16.0\excel\security\crypto,newkeyonpwdchange
excel16;L_VBAWarningsPolicy;L_empty4,Macro Notification Settings,software\policies\microsoft\office\16.0\excel\security,vbawarnings
excel16;L_VBAWarningsPolicy;L_VBADigSigTrustedPublishersStr,Require macros to be signed by a trusted publisher,software\policies\microsoft\office\16.0\excel\security,vbadigsigtrustedpublishers
excel16;L_VBAWarningsPolicy;L_VBAOnlyAllowDigSigWithCodeSigningEKUStr,Require Extended Key Usage (EKU) for certificates from trusted publishers,software\policies\microsoft\office\16.0\excel\security,vbarequiredigsigwithcodesigningeku
excel16;L_VBAWarningsPolicy;L_VBAOnlyAllowLMTrustedPublisherStr,Block certificates from trusted publishers that are only installed in the current user certificate store,software\policies\microsoft\office\16.0\excel\security,vbarequirelmtrustedpublisher
excel16;L_VBAWarningsPolicy,Macro Notification Settings,NA,NA
excel16;L_VBAWarningsPolicy;L_XL4WarningPolicy,Enable Excel 4.0 macros when VBA macros are enabled,software\policies\microsoft\office\16.0\excel\security,xl4macrowarningfollowvba
excel16;L_WebContentWarningLevel,WEBSERVICE Function Notification Settings,NA,NA
excel16;L_WebContentWarningLevel;L_WebContentWarningLevelValue,WEBSERVICE Function Notification Settings,software\policies\microsoft\office\16.0\excel\security,webservicefunctionwarnings
excel16;L_WebPagesAndExcel2003XMLSpreadsheets,Web pages and Excel 2003 XML spreadsheets,NA,NA
excel16;L_WebPagesAndExcel2003XMLSpreadsheets;L_WebPagesAndExcel2003XMLSpreadsheetsDropID,File block setting:,software\policies\microsoft\office\16.0\excel\security\fileblock,htmlandxmlssfiles
excel16;L_WindowsinTaskbar,Show all windows in the Taskbar,software\policies\microsoft\office\16.0\excel\options,showwindowsintaskbar
excel16;L_XL4KillSwitchPolicy,Prevent Excel from running XLM macros,software\policies\microsoft\office\16.0\excel\security,xl4macrooff
excel16;L_XMLFiles,XML files,NA,NA
excel16;L_XMLFiles;L_XMLFilesDropID,File block setting:,software\policies\microsoft\office\16.0\excel\security\fileblock,xmlfiles
excel16;L_ZoomonrollwithIntelliMouse,Zoom on roll with IntelliMouse,software\policies\microsoft\office\16.0\excel\options\binaryoptions,frollzoom_98_1
feedback;L_SendPublicFeedback,Allow users to access the feedback portal,software\policies\microsoft\office\16.0\common\feedback,L_SendPublicFeedback
lync16;L_PolicyConfigurationMode,Specify server,software\policies\microsoft\office\16.0\lync,configurationmode
lync16;L_PolicyConfigurationMode;L_ServerAddressExternal_VALUE,DNS name of the external server,software\policies\microsoft\office\16.0\lync,serveraddressexternal
lync16;L_PolicyConfigurationMode;L_ServerAddressInternal_VALUE,DNS name of the internal server,software\policies\microsoft\office\16.0\lync,serveraddressinternal
lync16;L_PolicyConfigurationMode_1,Specify server,software\policies\microsoft\office\16.0\lync,configurationmode
lync16;L_PolicyConfigurationMode_1;L_ServerAddressExternal_VALUE,DNS name of the external server,software\policies\microsoft\office\16.0\lync,serveraddressexternal
lync16;L_PolicyConfigurationMode_1;L_ServerAddressInternal_VALUE,DNS name of the internal server,software\policies\microsoft\office\16.0\lync,serveraddressinternal
lync16;L_PolicyConfiguredServerCheckValues;L_ConfiguredServerCheckValues_VALUE,Server version names (semicolon separated list):,software\policies\microsoft\office\16.0\lync,configuredservercheckvalues
lync16;L_PolicyConfiguredServerCheckValues,Additional server versions supported,NA,NA
lync16;L_PolicyConfiguredServerCheckValues_1;L_ConfiguredServerCheckValues_VALUE,Server version names (semicolon separated list):,software\policies\microsoft\office\16.0\lync,configuredservercheckvalues
lync16;L_PolicyConfiguredServerCheckValues_1,Additional server versions supported,NA,NA
lync16;L_PolicyDisableAutomaticSendTracing,Disable automatic upload of sign-in failure logs,software\policies\microsoft\office\16.0\lync,disableautomaticsendtracing
lync16;L_PolicyDisableAutomaticSendTracing_1,Disable automatic upload of sign-in failure logs,software\policies\microsoft\office\16.0\lync,disableautomaticsendtracing
lync16;L_PolicyDisableHttpConnect,Disable HTTP fallback for SIP connection,software\policies\microsoft\office\16.0\lync,disablehttpconnect
lync16;L_PolicyDisableHttpConnect_1,Disable HTTP fallback for SIP connection,software\policies\microsoft\office\16.0\lync,disablehttpconnect
lync16;L_PolicyDisableNTCredentials,Require logon credentials,software\policies\microsoft\office\16.0\lync,disablentcredentials
lync16;L_PolicyDisableNTCredentials_1,Require logon credentials,software\policies\microsoft\office\16.0\lync,disablentcredentials
lync16;L_PolicyDisableServerCheck,Disable server version check,software\policies\microsoft\office\16.0\lync,disableservercheck
lync16;L_PolicyDisableServerCheck_1,Disable server version check,software\policies\microsoft\office\16.0\lync,disableservercheck
lync16;L_PolicyEnableBitsForGalDownload,Enable using BITS to download Address Book Service files,software\policies\microsoft\office\16.0\lync,enablebitsforgaldownload
lync16;L_PolicyEnableBitsForGalDownload_1,Enable using BITS to download Address Book Service files,software\policies\microsoft\office\16.0\lync,enablebitsforgaldownload
lync16;L_PolicyEnableSIPHighSecurityMode,Configure SIP security mode,software\policies\microsoft\office\16.0\lync,enablesiphighsecuritymode
lync16;L_PolicyEnableSIPHighSecurityMode_1,Configure SIP security mode,software\policies\microsoft\office\16.0\lync,enablesiphighsecuritymode
lync16;L_PolicyGalDownloadInitialDelay;L_GalDownloadInitialDelay_VALUE,The maximum possible number of minutes to delay download.  Must be greater than or equal to zero,software\policies\microsoft\office\16.0\lync,galdownloadinitialdelay
lync16;L_PolicyGalDownloadInitialDelay,Global Address Book Download Initial Delay,NA,NA
lync16;L_PolicyGalDownloadInitialDelay_1;L_GalDownloadInitialDelay_VALUE,The maximum possible number of minutes to delay download.  Must be greater than or equal to zero,software\policies\microsoft\office\16.0\lync,galdownloadinitialdelay
lync16;L_PolicyGalDownloadInitialDelay_1,Global Address Book Download Initial Delay,NA,NA
lync16;L_PolicyPreventRun,Prevent users from running Microsoft Lync,software\policies\microsoft\office\16.0\lync,preventrun
lync16;L_PolicyPreventRun_1,Prevent users from running Microsoft Lync,software\policies\microsoft\office\16.0\lync,preventrun
lync16;L_PolicySavePassword,Allow storage of user passwords,software\policies\microsoft\office\16.0\lync,savepassword
lync16;L_PolicySavePassword_1,Allow storage of user passwords,software\policies\microsoft\office\16.0\lync,savepassword
lync16;L_PolicySipCompression,Configure SIP compression mode,NA,NA
lync16;L_PolicySipCompression;L_PolicySipCompression,Configure SIP compression mode,software\policies\microsoft\office\16.0\lync,sipcompression
lync16;L_PolicySipCompression_1;L_PolicySipCompression,Configure SIP compression mode,software\policies\microsoft\office\16.0\lync,sipcompression
lync16;L_PolicySipCompression_1,Configure SIP compression mode,NA,NA
lync16;L_PolicyTrustModelData,Trusted Domain List,NA,NA
lync16;L_PolicyTrustModelData;L_TrustModelData_VALUE,Trusted Domains (comma separated list):,software\policies\microsoft\office\16.0\lync,trustmodeldata
lync16;L_PolicyTrustModelData_1,Trusted Domain List,NA,NA
lync16;L_PolicyTrustModelData_1;L_TrustModelData_VALUE,Trusted Domains (comma separated list):,software\policies\microsoft\office\16.0\lync,trustmodeldata
office16;L_ActivateRestrictedBrowsing;L_Access,Microsoft Access,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft access
office16;L_ActivateRestrictedBrowsing,Activate Restricted Browsing,NA,NA
office16;L_ActivateRestrictedBrowsing;L_Excel,Microsoft Excel,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft excel
office16;L_ActivateRestrictedBrowsing;L_InfoPath,Microsoft InfoPath,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft infopath
office16;L_ActivateRestrictedBrowsing;L_OneNote,Microsoft OneNote,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft onenote
office16;L_ActivateRestrictedBrowsing;L_Outlook,Microsoft Outlook,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft outlook
office16;L_ActivateRestrictedBrowsing;L_PowerPoint,Microsoft PowerPoint,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft powerpoint
office16;L_ActivateRestrictedBrowsing;L_Project,Microsoft Project,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft project
office16;L_ActivateRestrictedBrowsing;L_Publisher,Microsoft Publisher,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft publisher
office16;L_ActivateRestrictedBrowsing;L_SharePoint,Microsoft SharePoint Designer,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft sharepoint designer
office16;L_ActivateRestrictedBrowsing;L_Visio,Microsoft Visio,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft visio
office16;L_ActivateRestrictedBrowsing;L_Word,Microsoft Word,software\policies\microsoft\office\16.0\common\open find\restrictedbrowse\optin,microsoft word
office16;L_ActiveDirectorytimeoutforqueryingoneentryforgroupexpansion,Active Directory timeout for querying one entry for group expansion,NA,NA
office16;L_ActiveDirectorytimeoutforqueryingoneentryforgroupexpansion;L_Entertimeoutinseconds,Enter timeout in seconds:,software\policies\microsoft\office\16.0\common\drm\autoexpanddls,adssearchpreftimeoutsecs
office16;L_ActiveXControlInitialization,ActiveX Control Initialization,NA,NA
office16;L_ActiveXControlInitialization;L_ActiveXControlInitializationcolon,ActiveX Control Initialization:,software\policies\microsoft\office\common\security,uficontrols
office16;L_ADAttributecontaingpersonalsiteURL,AD attribute containing Personal Site URL,NA,NA
office16;L_ADAttributecontaingpersonalsiteURL;L_empty424,AD attribute containing Personal Site URL,software\policies\microsoft\office\16.0\common\portal,adpesonalsiteproperty
office16;L_AddInContentCollection,Send the name and identifiers of private add-ins used by Office to Microsoft,software\policies\microsoft\office\16.0\common\privacy,addincontentdisabled
office16;L_AdditionalpermissionsrequestURL,Additional permissions request URL,NA,NA
office16;L_AdditionalpermissionsrequestURL;L_ChecktospecifyacustomURLoremailaddress,Check to specify a custom URL or e-mail address,software\policies\microsoft\office\16.0\common\drm,requestpermission
office16;L_AdditionalpermissionsrequestURL;L_SpecifyURLEmailaddress,Specify URL/Email address:,software\policies\microsoft\office\16.0\common\drm,requestpermissionurl
office16;L_AddonManagement,Add-on Management,NA,NA
office16;L_AddonManagement;L_excelexe15,excel.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,excel.exe
office16;L_AddonManagement;L_exprwdexe24,exprwd.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,exprwd.exe
office16;L_AddonManagement;L_grooveexe14,groove.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,groove.exe
office16;L_AddonManagement;L_msaccessexe25,msaccess.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,msaccess.exe
office16;L_AddonManagement;L_mse7exe27,mse7.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,mse7.exe
office16;L_AddonManagement;L_mspubexe16,mspub.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,mspub.exe
office16;L_AddonManagement;L_onenoteexe26,onent.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,onenote.exe
office16;L_AddonManagement;L_outlookexe22,outlook.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,outlook.exe
office16;L_AddonManagement;L_powerpntexe17,powerpnt.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,powerpnt.exe
office16;L_AddonManagement;L_pptviewexe18,pptview.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,pptview.exe
office16;L_AddonManagement;L_spdesignexe23,spDesign.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,spdesign.exe
office16;L_AddonManagement;L_visioexe19,visio.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,visio.exe
office16;L_AddonManagement;L_winprojexe20,winproj.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,winproj.exe
office16;L_AddonManagement;L_winwordexe21,winword.exe,software\microsoft\internet explorer\main\featurecontrol\feature_addon_management,winword.exe
office16;L_Afrikaans,Afrikaans,software\policies\microsoft\office\16.0\common\languageresources\enabledlanguages,af-za
office16;L_AgeOutPolicyLocalVersioning,Number of days to keep local document versions in the local cache,NA,NA
