Id,Name,registryKeyPath,registrySubPath
SavePreviewPictureWithThisDocument,Save preview picture with this document,Software/Microsoft/Office/16.0/PowerPoint/Options/SavePreview,
SendAllTelemetryEnabled,Send application usage data to Microsoft,NA,NA
SendASmileEnabledInExcel,Allow users to provide in-app feedback in Excel,NA,NA
SendASmileEnabledInOneNote,Allow users to provide in-app feedback in OneNote,NA,NA
SendASmileEnabledInOutlook,Allow users to provide in-app feedback in Outlook,NA,NA
SendASmileEnabledInPowerPoint,Allow users to provide in-app feedback in PowerPoint,NA,NA
SendASmileEnabledInWord,Allow users to provide in-app feedback in Word,NA,NA
SendCrashReportsEvenWithTelemetryDisabled,Send crash reports even when usage telemetry is disabled,NA,NA
SendCriticalTelemetryEnabled,Send application heartbeat data to Microsoft,NA,NA
ShowAdd-inUserInterfaceErrors,Show add-in user interface errors,Software/Microsoft/Office/16.0/Common/General/ReportAddinCustomUIErrors,
ShowAutocorrectSmartButton,Show AutoCorrect Smart Button,Software/Microsoft/Office/16.0/PowerPoint/Options/Show AutoCorrect Options Buttons,
ShowDocStageOnLaunch,Show the document template gallery on app launch,NA,NA
ShowFileExtensions,Show file extensions in open and save dialogs,NA,NA
ShowPresenceFlagsForSelectedItems,Show presence flags for selected items,Software/Microsoft/Office/16.0/Common/Office Graphics/AlwaysShowRemoteSelectionFlags,
ShowVerticalRulers,Show vertical rulers,Software/Microsoft/Office/16.0/PowerPoint/Options/VerticalRuler,
ShowWhatsNewOnLaunch,Show Whats New window on app launch,NA,NA
SlideShowNavigation,Slide Show navigation,Software/Microsoft/Office/16.0/PowerPoint/Options/SS Control Option,
StraightQuotesWithSmartQuotes,Straight quotes with smart quotes,Software/Microsoft/Office/16.0/PowerPoint/Options/SmartQuotes,
SuppressO365AutodiscoverOverride,Use domain-based autodiscover instead of Office 365,NA,NA
TrustAccessToTheVbaProjectObjectModel,Trust access to the VBA project object model,Software/Microsoft/Office/16.0/PowerPoint/Security/AccessVBOM,
TrustO365AutodiscoverRedirect,Trust Office 365 autodiscover redirects,NA,NA
UseGermanPost-reformRules,Use German post-reform rules,Software/Microsoft/Office/16.0/PowerPoint/Options/Use German reform spelling rules,
UserInitials,User initials,Software/Microsoft/Office/Common/UserInfo/UserInitials,
UserName,User name,Software/Microsoft/Office/Common/UserInfo/UserInfo,
UseSmartCutAndPaste,Use smart cut and paste,Software/Microsoft/Office/16.0/PowerPoint/Options/SmartCutPaste,
VBAObjectModelIsTrusted,Trust the Visual Basic Object Model,NA,NA
VisualBasicEntirelyDisabled,Visual Basic Entirely Disabled,NA,NA
VisualBasicMacroExecutionState,Ability to run Visual Basic macros in documents,NA,NA
WarnBeforeOpeningAnApplicationOrMacro,Warn before opening an application or macro,Software/Microsoft/Office/16.0/PowerPoint/Options/Show SlideShow Alerts,
access16;L_2007CompatibleCachePolicy,Use Access 2007 compatible cache,software\policies\microsoft\office\16.0\access\settings,use2007compatiblecache
access16;L_AllowTrustedLocationsOnTheNetwork,Allow Trusted Locations on the network,software\policies\microsoft\office\16.0\access\security\trusted locations,allownetworklocations
access16;L_BlockAllUnmanagedAddins,Block all unmanaged add-ins,software\policies\microsoft\office\16.0\access\resiliency,restricttolist
access16;L_BlockMacroExecutionFromInternet,Block macros from running in Office files from the internet,software\policies\microsoft\office\16.0\access\security,blockcontentexecutionfrominternet
access16;L_ClearCacheOnClosePolicy,Clear cache on close,software\policies\microsoft\office\16.0\access\settings,clearcacheonclose
access16;L_ConfigureCNGCipherChainingMode,Configure CNG cipher chaining mode,NA,NA
access16;L_ConfigureCNGCipherChainingMode;L_ConfigureCNGCipherChainingModeDropID,Configure CNG cipher chaining mode,software\policies\microsoft\office\16.0\access\security\crypto,cipherchaining
access16;L_Cursormovement,Cursor movement,NA,NA
access16;L_Cursormovement;L_cursormovement2,Cursor movement,software\policies\microsoft\office\16.0\access\settings,cursor
access16;L_DefaultCustomTab,Show custom templates tab by default in Access on the Office Start screen and in File | New,software\policies\microsoft\office\16.0\access\settings,officestartdefaulttab
access16;L_Defaultdatabasefolder,Default database folder,NA,NA
access16;L_Defaultdatabasefolder;L_defaultdatabasefolder6,Default database folder,software\policies\microsoft\office\16.0\access\settings,default database directory
access16;L_Defaultdirection,Default direction,NA,NA
access16;L_Defaultdirection;L_defaultdirection0,Default direction,software\policies\microsoft\office\16.0\access\settings,new tables/queries/forms/reports
access16;L_DefaultFileFormat,Default file format,NA,NA
access16;L_DefaultFileFormat;L_empty87,Default file format,software\policies\microsoft\office\16.0\access\settings,default file format
access16;L_Disableallapplicationextensions,Disable all application add-ins,software\policies\microsoft\office\16.0\access\security,disablealladdins
access16;L_disablecommandbarbuttonsandmenuitems85,Disable commands,NA,NA
access16;L_disablecommandbarbuttonsandmenuitems85;L_EnteracommandbarIDtodisable,Enter a command bar ID to disable,software\policies\microsoft\office\16.0\access\disabledcmdbaritemslist,
access16;L_Disablecommandbarbuttonsandmenuitems,Disable predefined commands,,
access16;L_Disablecommandbarbuttonsandmenuitems;L_FileSendToMailRecipient,File tab | Access Options | Customize | All Commands | Email,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,sendtomailrecipient
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsAddInsAcc,Database Tools | Database Tools | Add-Ins,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,addinsmenuicon
access16;L_Disablecommandbarbuttonsandmenuitems;L_ToolsMacroConvertMacrostoVisualBasic,Database Tools | Macro | Convert Macros to Visual Basic,software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes,toolsmacroconvertmacros
